"","Acinar","Adipocyte","Alpha_cell","Beta_cell","Duct","Endothelium","Hepatocyte","Neuron","Oligodendrocyte","Vasc_endothelium","Amniotic_epithelial_cell","Amniotic_membrane","Aortic_smooth_muscle_cell","Astrocyte","Bronchial_epithelial_cell","CD14+_Monocytes","CD19+_B-cells","CD4+_T-cells","CD56+_NK-cells","CD8+_T-cells","Cardiac_fibroblast","Cardiac_muscle_cell","Chorionic_membrane","Choroid_plexus_epithelial_cell","Eosinophils","Epithelial_cell_of_alveolus_of_lung","Epithelial_cell_of_esophagus","Epithelial_cell_of_prostate","Epithelial_cell_of_proximal_tubule","Fibroblast","Iris_pigment_epithelial_cell","Kidney_epithelial_cell","Left_atrium","Liver","Mammary_epithelial_cell","Muscle","Neutrophils","Non-pigmented_ciliary_epithelial_cell","Omentum","Placental_chorionic_villi","Placental_decidua","Placental_mesenchyme","Placental_trophoblast","Renal_cortical_epithelial_cell","Skeletal_muscle_cell","Umbilical_cord","Bladder","Breast","Cervix","Colon","Esophagus","Head_and_kneck","Kidney","Lung","Testes","Prostate","Rectum","Mesenchyme","Skin","Stomach","Thyroid","Uterus"
"cg00153856",0.409897466948746,0.0149141686513729,0.0412123787003756,0.0877746147981481,0.030820610314169,0.0154656441794514,0.0147917862271175,0.0215133110360921,0.0180902434689537,0.0223078868070168,0.0116258981128195,0.0138892118726545,0.016643315797032,0.0141130572702017,0.0131103924785109,0.0169062750189226,0.0151772644859443,0.0138558555639149,0.0144305778689428,0.016977836515381,0.0158979354775091,0.0151536374860501,0.0143523093578148,0.0161625334534501,0.0145183662438419,0.0174610864521577,0.0135170213921651,0.0138030906954883,0.0129666459999542,0.013396268745412,0.0117810277031123,0.0120149199685581,0.0123774175698972,0.0147707129627171,0.0138744488611055,0.0152962888855693,0.0142073454236172,0.0179290182450226,0.0152460393133539,0.0198120312741089,0.00980888570343132,0.0201781766706109,0.0210335407813395,0.0158669634552833,0.013913997955778,0.0213861809875121,0.0167336449486247,0.0115254017575069,0.0137805898040187,0.0142035381027411,0.0134136702893748,0.0134552886500561,0.00969114774996419,0.014311400735969,0.0160372878374277,0.0134521867399426,0.0161495205351786,0.012947395771722,0.0151131283965359,0.0117138377510533,0.0143966792477932,0.0151016597016731
"cg00091044",0.531940238256429,0.0126710665458835,0.143410159685275,0.132198611204919,0.0386715916526776,0.011405359633854,0.148819404085395,0.0224178805916341,0.0934873856711593,0.0271572600954752,0.0102462839831156,0.0129513117784091,0.00964329726120983,0.0109119705349827,0.00997822080304699,0.0278712636487896,0.0186862090620569,0.0172409717763108,0.018709140885081,0.019477585219373,0.0109294001306525,0.0106960084810171,0.0151015780697551,0.0134988061175878,0.0219944446774876,0.0124734021687742,0.00832081932755548,0.0117899751124232,0.0128755196372136,0.0114543558218371,0.0124779149460352,0.00906034243197023,0.022859926340449,0.0691471286423932,0.0136209609263713,0.207146336773737,0.0235083261816869,0.0127606335077676,0.0188794222929415,0.0260779507990694,0.0210882721221587,0.0239677868714303,0.0193440940896057,0.0109938896229613,0.0110023223261938,0.0198119358271652,0.0357348603489983,0.0175778566128642,0.0161211700382118,0.0201082484266296,0.0193454641826412,0.0400310094512377,0.0407438843340969,0.033448165433065,0.0367356577946704,0.0278088004651852,0.0225733179557049,0.0142020498735906,0.019659551196275,0.0170030638292378,0.0777222403344263,0.0211096553640116
"cg00386551",0.768221569085624,0.0225510698347126,0.0757431208273331,0.145059281685082,0.0373489910113793,0.0392884234249532,0.042171206988748,0.0290621620960989,0.0371452182112026,0.0208635634407339,0.0333868536628833,0.0122403363814339,0.0555517785853201,0.0258319979974792,0.0333575533861185,0.0125240319974571,0.035282265394531,0.0240850604737669,0.0390614347313393,0.0627623277809087,0.0729098067464075,0.0606217250550767,0.167471404359504,0.0343975864558252,0.0105083250193694,0.0243837967168377,0.0133328196019573,0.0311913571820496,0.0300985768270379,0.0255607912701096,0.0387794870333723,0.0253063785494008,0.375787908758173,0.0499998598672417,0.029453784249768,0.0160918100085569,0.0115049277241873,0.0205139579857554,0.0318820243950482,0.296156281830328,0.0293744881636279,0.320551735690429,0.361996911568347,0.0300988429030142,0.0273747057704735,0.0208969954590944,0.0453782675974798,0.034288749252632,0.0256979117588425,0.200696742271831,0.104834930135951,0.0361864861840113,0.0429985378785481,0.0305436902888658,0.0159946199058641,0.0806518039125566,0.178705325937351,0.0177371986847263,0.0250765688654458,0.177730271961107,0.0312974423719518,0.0455578259929631
"cg00394358",0.24118721898171,0.0176200762907201,0.0223017991064842,0.0278766852252371,0.0151751634111676,0.015933759294009,0.0148813761748286,0.0153946027937913,0.0154667990490512,0.0154882871658454,0.0177541433211461,0.0144424373735144,0.0182688192026939,0.0145162408264856,0.0161675975870724,0.0178553519579061,0.0223925972396803,0.0172608466467728,0.0186682862522636,0.023059469478256,0.0188225900339084,0.0174111551034107,0.0163407741463708,0.0173491199401159,0.0171425181242617,0.0162606981206188,0.0150148022151421,0.0158650356705256,0.0165963732626677,0.0191310515241436,0.0159369632856472,0.0157821816450593,0.0169085027825203,0.0207271150240495,0.0141612949637254,0.0181788772315716,0.0189544732541612,0.0180727091764032,0.0349391557401372,0.020991130301407,0.011467176761936,0.037977399167924,0.0444653962274664,0.013460282628078,0.0170237361563675,0.0211906058512005,0.0216050161873406,0.020877480468741,0.0172548245299217,0.0181532500432706,0.0867933928640281,0.0175510726022594,0.0151878956167518,0.0185878051726414,0.0177835586502508,0.0170400990454672,0.0192465047366257,0.0142196706402563,0.0181521241778524,0.141003647601028,0.0217723252525327,0.0192597426197443
"cg00264441",0.773289981327976,0.0257877380496838,0.0709046520626644,0.175050120042923,0.0456082492437917,0.0285340342537326,0.835747249835662,0.0252636074548875,0.0189206205570846,0.0195264869859712,0.0273897807464284,0.0221189023947397,0.0175946546420569,0.0260451237279736,0.0278281563556721,0.0305377371863971,0.0364329399058541,0.0351507638932504,0.0357421094009437,0.0477018027677324,0.0173434634443895,0.0455396645953691,0.0211830472112523,0.0295191027590523,0.0319064389666338,0.0270207558954575,0.0361560700730934,0.0189342164439295,0.046196379087614,0.0261564578675941,0.0333542129373496,0.0277338046475308,0.0285776056216152,0.555633372663291,0.0308241144683949,0.0357704795425717,0.0326407002093117,0.0259671307896843,0.0358098933107895,0.0585373151646394,0.0226396802895804,0.112916644972494,0.128929182919387,0.0262912282011362,0.0254346961134757,0.0346267667493261,0.0342218370642401,0.0275960835428435,0.0318289479711389,0.0846789729140653,0.294955783122709,0.0347422867781045,0.0242763940380294,0.0285907826704488,0.0199829182454414,0.106095234627411,0.133093344345643,0.16872884668731,0.0282005851237177,0.180488037078027,0.0300641500397977,0.0355798017144266
"cg00073010",0.965525851461393,0.0185017970076505,0.0899008239673431,0.265268460582308,0.0937225904491858,0.0175229608956483,0.66639065168049,0.023024814747033,0.022819055227817,0.0320394405790507,0.0169176441884398,0.0204840573998313,0.0204044230250726,0.0191288346408918,0.0211475916125764,0.0253506181893976,0.0253516321712902,0.0207252958257603,0.0236953619543144,0.0247724072883458,0.0209523253223435,0.0161730806216586,0.0251167140729323,0.0175903474502002,0.0223225057537297,0.0219642389103451,0.0400796859780073,0.0187001745067904,0.562375333411981,0.0175253755270193,0.0170700973284106,0.0221986133327656,0.0160140103254102,0.530491786460866,0.516759777416415,0.0227626670131861,0.0247327433278459,0.0178659092891005,0.023165121256804,0.0704110328931164,0.0116841042187576,0.0374779208162104,0.0645033818750937,0.20324084628432,0.0167499345478967,0.0259229590871441,0.0234110260780627,0.0250242597668724,0.0195349433135455,0.508618925760857,0.0684684664750296,0.0280671335295122,0.272176388934272,0.0195590952951234,0.0229450921218831,0.111823384094344,0.454421293457691,0.0144196420644996,0.0183632933376581,0.0224069427857976,0.0229649331185356,0.0280822525036198
"cg00124375",0.953155896548282,0.0173317411065748,0.364226530632284,0.305619202933041,0.0300829219383544,0.0133329218837286,0.976736135425071,0.0846786698675796,0.0325043141411001,0.0335314439445214,0.015460741381066,0.0131855075310327,0.0232578300683867,0.0133732336903015,0.014979242454013,0.020155973860414,0.0270332610260369,0.355516321867729,0.0346714306282044,0.129288574287457,0.0165387677618785,0.0151153632584238,0.0163817734624055,0.0148494319312515,0.0194800969772119,0.0142839338722589,0.0188773749180595,0.0206152120632974,0.024341227335735,0.0155964485299257,0.0151833552484937,0.0164799559464893,0.0243908556347295,0.533621344394074,0.0255793238379433,0.0456103938839216,0.022890513905406,0.0163140082682918,0.0773885422271044,0.0535991808296021,0.0505241253222273,0.0276528220288358,0.0550812063972132,0.0166626606539199,0.0148097605247959,0.0190662307742099,0.208220996506494,0.113820505104883,0.0239947829759398,0.0484567322951335,0.11847501624179,0.20001790706005,0.0483324476472302,0.163698807658167,0.0839008296783199,0.0849363850074563,0.0626051240137458,0.116364244506456,0.141000144009055,0.132563708493683,0.145344336455935,0.0506544385188704
"cg00171421",0.932284971131927,0.0384880449282796,0.122294639567892,0.194310798577196,0.351854010127761,0.108353973508355,0.0730592929362637,0.0384193340746563,0.103462388941637,0.0306150654302663,0.0575651652864567,0.0436569520831729,0.0678440948108307,0.0575758807019875,0.0807104921159159,0.0979239052511527,0.10578131550363,0.0913704430610034,0.0876725909407212,0.113092002982486,0.0862982962065073,0.0519382533509513,0.130284844555788,0.0524726379981305,0.0891090009585048,0.0508169934724444,0.114541629092681,0.238716487193206,0.116539995658754,0.12323495031011,0.118427107797445,0.0552601360725555,0.0723365085549209,0.200396388012627,0.0668978041646354,0.0633140440597113,0.0650476398742161,0.117270481153997,0.106876728307074,0.104706324486398,0.0441302199043927,0.164904000543038,0.124526108277973,0.0754071890019431,0.0784488893272651,0.113987835968857,0.0864409738404529,0.051206721135286,0.058816290154916,0.114639352450087,0.122609725613835,0.0852877821242616,0.0601650831273386,0.0852001483291747,0.101332117072485,0.254121556265038,0.123249825728363,0.0418942131551561,0.0414644637665397,0.115804206634798,0.0933185983002858,0.104741707334223
"cg00041599",0.769432096645547,0.0557588273202982,0.298325234305928,0.189961887632307,0.03813370963238,0.0367386516629021,0.0648942705443366,0.340621500465402,0.0729052115791964,0.0495314560992598,0.0222912844809155,0.039591157724135,0.031261303453592,0.0369918449023347,0.0360575874885865,0.112257170572832,0.119379506256685,0.123880096558417,0.153874474549938,0.177759617282074,0.0338275677170321,0.0300725058550383,0.043818040889963,0.0449523798615278,0.0751235793728083,0.0302613965998999,0.0550844233218499,0.0507802752373836,0.0576795225228516,0.0472086867726411,0.0295975197062458,0.0409452057473679,0.0490758823772478,0.100486540436115,0.537779539978569,0.164605008669039,0.0775466730289751,0.0427051378718143,0.0751313380080668,0.0408991935785233,0.0506827815949609,0.0440793841136549,0.0451422884035738,0.058142813237652,0.0383177347553636,0.0498820367398854,0.0615589347299122,0.176688168939786,0.0621341356479039,0.0680936792330962,0.0708745512324711,0.0875896827389344,0.0461344841039513,0.0532657998736948,0.104490149838408,0.0748021295461436,0.061216695139397,0.181322619676638,0.0666434330259943,0.127975883148424,0.0535519759588745,0.0911435159006258
"cg00290974",0.645100859600847,0.0252805921837757,0.230973967332053,0.197629609118703,0.0319344018842183,0.202302518125243,0.0274019934964433,0.0329023944526924,0.358464213541327,0.059067118982332,0.0211354299693873,0.0227601854572749,0.093996506981136,0.120848428364707,0.0199291593342578,0.0303550714778742,0.0562880231270325,0.192669852778415,0.26439306883375,0.305180250566963,0.117863023781145,0.0897503393254484,0.0261725557869858,0.021907194465076,0.0280603415723629,0.0481902809985113,0.0201471596760927,0.0220762196332214,0.0422381134524183,0.0365551320468973,0.0359598724864417,0.0483151833364986,0.0399674755439137,0.0365857293229217,0.0307212494122198,0.03202821055169,0.0306984184918653,0.0388542934053762,0.069762942295988,0.0308820608676914,0.0289333518264487,0.0307279130971503,0.026847571651147,0.0308031401098247,0.0641886169965954,0.0571706866097865,0.0600257107216757,0.0535205341291317,0.0473110108641624,0.0515593138474061,0.0550610861480998,0.0603219867635468,0.0282402622563191,0.104051842538324,0.0573703613418042,0.0723155794504759,0.0476460332542546,0.0349522634150708,0.0674956535111753,0.193472032268241,0.239521839373269,0.0503164727038622
